vertical,website,doc_id,attribute,true,pred,reason
movie,allmovie,0526,title,Midnight Express,trumbo,incorrect value
movie,iheartmovies,1163,title,Romeo + Juliet (1996),about i heart movies,nonsense
movie,allmovie,0472,title,Ganja and Hess,work rating,nonsense
movie,allmovie,1500,title,The Taking of Pelham One Two Three,work rating,nonsense
movie,iheartmovies,0601,title,I Am Sam (2001),about i heart movies,nonsense
movie,iheartmovies,0721,title,La battaglia di Algeri (1966),about i heart movies,nonsense
movie,allmovie,1830,title,Night Moves,work rating,nonsense
movie,iheartmovies,1555,title,The Great Mouse Detective (1986),about i heart movies,nonsense
movie,allmovie,1371,title,Chances Are,sylvia,incorrect value
movie,allmovie,0615,title,Angel Baby,work rating,nonsense
movie,allmovie,0066,title,Victor/Victoria,work rating,nonsense
movie,allmovie,0451,title,Cronos,cobb,nonsense
movie,iheartmovies,0099,title,Canadian Bacon (1995),about i heart movies,nonsense
movie,allmovie,0775,title,Time Regained,work rating,nonsense
movie,iheartmovies,0183,title,Corky Romano (2001),about i heart movies,nonsense
movie,iheartmovies,1497,title,The Crush (1993),about i heart movies,nonsense
movie,allmovie,0396,title,Spies Like Us,work rating,nonsense
movie,allmovie,1139,title,Testament,last testament,overcomplete value
movie,allmovie,1980,title,Mourir d'aimer,work rating,nonsense
movie,iheartmovies,1332,title,Stay (2005),about i heart movies,nonsense
movie,amctv,0706,title,Advertising Rules,commercial man,incorrect value
movie,rottentomatoes,0038,title,Body of Evidence,little vampire,incorrect value
movie,amctv,1477,title,Paycheck,call him indy stalker,nonsense
movie,rottentomatoes,0214,title,Hollow Reed,milk of sorrow,incorrect value
movie,rottentomatoes,1275,title,Wherever You Are (Lifelines),lifelines,incomlete value
movie,rottentomatoes,1136,title,"Lovely, Still (2008)","lovely, still",incomplete value
movie,amctv,0912,title,Who Is Killing the Great Chefs of Europe?,those magnificent men in their flying machines ( 1965,incorrect value
movie,amctv,1929,title,Pinocchio,live boy,nonsense
movie,rottentomatoes,0948,title,JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA),joint security area,incomplete value
